region,period,cremation,inhumation,mound,flat
Austria and Czechia,Early Bronze Age,1,3,1,3
Austria and Czechia,Middle Bronze Age,2,2,1,3
Austria and Czechia,Late Bronze Age,3,1,1,3
Poland,Early Bronze Age,1,3,2,2
Poland,Middle Bronze Age,2,2,2,2
Poland,Late Bronze Age,3,1,1,3
Southern Germany,Early Bronze Age,1,3,1,3
Southern Germany,Middle Bronze Age,2,2,3,1
Southern Germany,Late Bronze Age,3,1,1,3
Northeastern France,Early Bronze Age,2,2,2,2
Northeastern France,Middle Bronze Age,2,2,3,1
Northeastern France,Late Bronze Age,3,1,2,2
Northern Germany,Early Bronze Age,1,3,2,2
Northern Germany,Middle Bronze Age,1,3,3,1
Northern Germany,Late Bronze Age,3,1,1,3
Southern Skandinavia,Early Bronze Age,1,3,3,1
Southern Skandinavia,Middle Bronze Age,3,1,3,1
Southern Skandinavia,Late Bronze Age,3,1,2,2
Benelux,Early Bronze Age,1,3,3,1
Benelux,Middle Bronze Age,2,2,3,1
Benelux,Late Bronze Age,3,1,2,2
England,Early Bronze Age,1,3,3,1
England,Middle Bronze Age,3,1,2,2
England,Late Bronze Age,3,1,1,3
